Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sun,2018-12-09,20:45 (01:15),Betis,1.8,2–0,1.2,Rayo Vallecano,40218,Estadio Benito Villamarín,Juan Martínez,Match Report,
15,Mon,2018-12-10,21:00 (01:30),Athletic Club,2.1,1–0,0.1,Girona,34060,San Mamés,Eduardo Prieto,Match Report,
16,Fri,2018-12-14,21:00 (01:30),Celta Vigo,0.9,0–0,0.7,Leganés,15134,Estadio de Balaídos,José Luis Munuera,Match Report,
16,Sat,2018-12-15,13:00 (17:30),Getafe,0.5,1–0,0.8,Real Sociedad,9018,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
16,Sat,2018-12-15,16:15 (20:45),Valladolid,1.0,2–3,1.8,Atlético Madrid,22585,Estadio Municipal José Zorrilla,Alberto Undiano,Match Report,
16,Sat,2018-12-15,18:30 (23:00),Real Madrid,1.2,1–0,0.8,Rayo Vallecano,55229,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
16,Sat,2018-12-15,20:45 (01:15),Eibar,1.4,1–1,2.0,Valencia,4491,Estadio Municipal de Ipurúa,Adrián Cordero,Match Report,
16,Sun,2018-12-16,12:00 (16:30),Sevilla,2.6,2–0,0.8,Girona,33542,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
16,Sun,2018-12-16,16:15 (20:45),Espanyol,0.9,1–3,1.7,Betis,20275,RCDE Stadium,José Sánchez,Match Report,
16,Sun,2018-12-16,18:30 (23:00),Huesca,4.0,2–2,1.6,Villarreal,6455,Estadio El Alcoraz,David Medié,Match Report,
16,Sun,2018-12-16,20:45 (01:15),Levante,1.1,0–5,3.0,Barcelona,23736,Estadio Ciudad de Valencia,José González,Match Report,
16,Mon,2018-12-17,21:00 (01:30),Alavés,0.5,0–0,0.4,Athletic Club,19349,Estadio de Mendizorroza,Antonio Matéu Lahoz,Match Report,
17,Fri,2018-12-21,19:30 (00:00),Girona,1.3,1–1,0.9,Getafe,8450,Estadi Municipal de Montilivi,Alberola Rojas,Match Report,
17,Fri,2018-12-21,21:00 (01:30),Real Sociedad,1.3,0–1,0.6,Alavés,22431,Estadio Municipal de Anoeta,Javier Estrada,Match Report,
17,Sat,2018-12-22,13:00 (17:30),Betis,1.5,1–1,2.0,Eibar,49426,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
